tooltype;steel;stainless;castiron;aluminum;universal;catnum;invnum;unit;grinded;mfr;holdertype;tipdiamm;tipdiainch;shankdia;pitch;neckdia;tslotdp;toollen;splen;worklen;bladecnt;tiptype;tipsize;material;coating;inserttype;cabinet;qty;issued;avail;minqty;secocab;sandvikcab;kennacab;niagaracab;extcab;sourcetable;subtype
Face Mill;0;0;0;0;1;90TWF364;780.2440.3485;inch;Yes;Sandvik;SK-40;12.7;0.5;14;N/A;N/A;N/A;129.0;57.71;113.78;10;45°;0.03;HSS;Aluminium Titanium Nitride;N/A;3_F_2;9;0;9;6;N/A;2_C_3;N/A;N/A;2;tool;Face Mill
Sphere Mill;1;0;1;1;0;68FPP967;709.9979.6522;mm;No;Garant;HSK-A63;3;0.1181;40;N/A;N/A;N/A;158.0;34.0;61.86;2;30°;N/A;VHM;None;Type 2;4_B_10;12;4;8;2;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
End Mill;0;0;0;1;0;55RKX982;715.3355.3787;inch;Yes;Niagara Cutter;HSK-A63;38.1;1.5;34;N/A;N/A;N/A;139.49;27.0;65.0;6;45°;0.06;HSS;Diamond;Type 2;4_E_5;1;0;1;1;N/A;N/A;N/A;6_C_11;48;tool;Roughing End Mill
T-Slot Mill;1;0;0;1;0;14IUQ401;782.9689.1481;mm;No;Sandvik;HSK-A63;20;0.7874;33;N/A;18;13.5486;113.32;19.11;25.17;1;N/A;N/A;HSS;Titanium Nitride;Type 3;6_F_11;5;5;0;2;N/A;N/A;N/A;N/A;0;tool;T-Slot Mill
T-Slot Mill;0;0;1;1;0;66DKN947;718.4884.8961;mm;Yes;Garant;SK-40;1.5;0.0591;41;N/A;18;5.5013;80.71;25.0;74.07;10;N/A;N/A;HSS;Titanium Nitride;Type 2;6_B_12;10;0;10;8;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
Drill;0;1;0;1;0;96KWQ779;725.2975.1619;inch;No;Sandvik;HSK-A63;9.525;0.375;24;N/A;N/A;N/A;193.0;106.0;136.82;2;N/A;N/A;VHM;None;N/A;6_B_12;7;0;7;6;N/A;N/A;N/A;N/A;0;tool;Flat-end Drill
End Mill;0;0;0;0;1;10KIW492;700.1420.4786;mm;Yes;Sandvik;SK-40;4.5;0.1772;33;N/A;N/A;N/A;92.22;27.0;29.12;9;N/A;0.3;VHM;Titanium Nitride;Type 1;2_D_13;2;1;1;0;N/A;3_C_2;N/A;N/A;38;tool;Ball Nose End Mill
Face Mill;0;0;0;0;1;88KXZ518;711.4061.2820;mm;Yes;SECO;HSK-A63;16;0.6299;42;N/A;N/A;N/A;170.0;97.0;157.52;1;N/A;1;HSS;Aluminium Titanium Nitride;Type 1;1_D_6;0;0;0;0;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
Sphere Mill;1;0;0;0;0;91PSB316;706.7570.4838;mm;No;Niagara Cutter;SK-40;3;0.1181;17;N/A;N/A;N/A;121.0;82.0;89.58;5;45°;3;HSS;None;Type 3;4_C_6;5;2;3;5;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
T-Slot Mill;0;0;0;0;1;94YRX861;773.3627.2028;mm;No;KENNAMETAL;SK-40;2.5;0.0984;12;N/A;16;8.3034;71.07;17.0;64.18;8;N/A;0.3;HSS;Titanium Nitride;N/A;3_A_13;11;3;8;5;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
Drill;0;0;0;0;1;72OZM169;749.9910.5482;inch;No;SECO;SK-40;25.4;1;36;N/A;N/A;N/A;169.07;81.0;111.0;8;45°;0.12;VHM;None;Type 2;5_C_2;11;4;7;7;5_C_11;N/A;N/A;N/A;2;tool;Pilot Drill
Face Mill;0;0;0;1;0;47NLN360;795.4057.6737;mm;Yes;KENNAMETAL;SK-40;10;0.3937;30;N/A;N/A;N/A;63.79;54.0;62.37;1;N/A;N/A;VHM;None;Type 3;1_A_2;9;2;7;8;N/A;N/A;6_A_5;N/A;26;tool;High-feed Face Mill
T-Slot Mill;0;0;1;0;0;29AFB102;763.1238.1478;inch;No;Garant;SK-40;31.75;1.25;27;N/A;12;11.8066;194.0;16.0;89.0;8;45°;N/A;HSS;Aluminium Titanium Nitride;Type 3;2_E_13;2;1;1;2;N/A;N/A;N/A;N/A;0;tool;T-Slot Mill
Sphere Mill;0;0;1;0;0;89NBM255;709.5318.9221;mm;No;SECO;SK-40;8;0.315;42;N/A;N/A;N/A;121.51;33.0;90.71;5;90°;2;HSS;Aluminium Titanium Nitride;Type 2;4_D_11;11;4;7;8;1_C_12;N/A;N/A;N/A;43;tool;Sphere Mill
Thread Tap;0;0;0;0;1;99LAF652;706.3537.3300;mm;Yes;SECO;HSK-A63;1;0.0394;16;M12;N/A;N/A;92.0;10.12;28.0;4;90°;1;VHM;None;Type 1;4_C_8;1;0;1;1;N/A;N/A;N/A;N/A;0;tool;Blind Hole Thread Tap
Chamfer Mill;1;1;1;1;0;21NMJ926;711.1693.8135;inch;Yes;KENNAMETAL;SK-40;12.7;0.5;11;N/A;N/A;N/A;107.51;22.0;36.48;5;30°;N/A;VHM;Aluminium Titanium Nitride;Type 1;4_C_8;5;0;5;4;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Chamfer Mill;0;0;0;0;1;53OZQ468;782.5857.7078;inch;Yes;Niagara Cutter;SK-40;25.4;1;16;N/A;N/A;N/A;166.0;103.54;118.14;9;45°;0.12;VHM;Diamond;N/A;4_E_13;5;4;1;3;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Thread Tap;0;1;1;1;0;47FVW935;724.6088.5446;mm;No;SECO;HSK-A63;20;0.7874;44;M8;N/A;N/A;57.0;23.0;25.0;3;90°;N/A;HSS;Diamond;Type 2;4_D_11;10;0;10;8;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Thread Tap;0;1;1;1;0;69ZST312;737.2805.7036;mm;No;Sandvik;HSK-A63;3;0.1181;26;4-40;N/A;N/A;91.0;23.79;46.17;4;N/A;N/A;VHM;Titanium Nitride;N/A;1_B_6;8;4;4;6;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Face Mill;0;0;0;0;1;64DVU856;754.9003.6438;inch;Yes;Niagara Cutter;HSK-A63;44.45;1.75;47;N/A;N/A;N/A;98.03;12.01;75.39;4;90°;N/A;HSS;Diamond;N/A;4_B_13;9;3;6;2;N/A;N/A;N/A;5_B_12;35;tool;High-feed Face Mill
Drill;0;0;1;0;0;42EON356;795.6538.7457;mm;Yes;Garant;SK-40;4;0.1575;43;N/A;N/A;N/A;54.42;22.0;31.5;2;30°;N/A;HSS;Titanium Nitride;Type 1;2_C_5;10;1;9;3;N/A;N/A;N/A;N/A;0;tool;Pilot Drill
Face Mill;1;1;0;0;0;30SQR443;713.9445.8804;mm;No;Niagara Cutter;HSK-A63;5;0.1969;18;N/A;N/A;N/A;123.0;53.31;121.02;7;90°;3;VHM;Aluminium Titanium Nitride;Type 2;5_A_15;11;1;10;9;N/A;N/A;N/A;3_A_2;15;tool;Face Mill
T-Slot Mill;1;1;1;1;0;11CPH983;741.2234.7662;inch;Yes;Sandvik;HSK-A63;12.7;0.5;15;N/A;12;8.8886;65.0;10.0;30.07;8;45°;0.06;HSS;Diamond;Type 1;1_D_15;14;4;10;0;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
Sphere Mill;0;0;0;0;1;15ADM588;719.8689.5628;inch;No;KENNAMETAL;SK-40;44.45;1.75;12;N/A;N/A;N/A;81.64;20.46;46.0;10;30°;0.03;HSS;Diamond;N/A;3_A_9;4;1;3;4;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
Thread Tap;0;1;0;1;0;70TMN785;780.1464.5504;mm;No;KENNAMETAL;SK-40;8;0.315;49;2-56;N/A;N/A;132.0;30.58;43.11;1;30°;1;VHM;Titanium Nitride;N/A;4_F_4;15;5;10;7;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Sphere Mill;0;0;0;0;1;82GQC547;770.2236.3594;mm;No;Sandvik;HSK-A63;6;0.2362;34;N/A;N/A;N/A;138.34;58.64;84.0;3;45°;2;VHM;Aluminium Titanium Nitride;Type 3;6_B_10;8;3;5;8;N/A;4_D_11;N/A;N/A;24;tool;Sphere Mill
Drill;0;0;0;0;1;96WPM201;724.8294.6420;mm;No;Niagara Cutter;SK-40;20;0.7874;13;N/A;N/A;N/A;180.94;13.0;57.0;10;30°;2;HSS;None;N/A;1_E_2;1;0;1;0;N/A;N/A;N/A;N/A;0;tool;Flat-end Drill
Drill;0;1;0;0;0;12NMH565;730.3696.2511;mm;Yes;Sandvik;HSK-A63;1;0.0394;31;N/A;N/A;N/A;94.0;31.89;60.55;1;90°;N/A;HSS;Diamond;Type 3;2_F_12;12;4;8;1;N/A;2_E_4;N/A;N/A;46;tool;Modular Drill
Sphere Mill;1;1;0;0;0;84KPQ358;748.5164.9971;inch;No;Sandvik;HSK-A63;9.525;0.375;35;N/A;N/A;N/A;122.0;95.84;111.41;6;30°;0.12;HSS;Titanium Nitride;Type 1;5_B_5;12;5;7;3;N/A;3_B_4;N/A;N/A;15;tool;Sphere Mill
Chamfer Mill;1;0;0;0;0;40VZG310;757.3773.6014;mm;Yes;Sandvik;SK-40;2;0.0787;40;N/A;N/A;N/A;125.65;82.23;112.0;1;90°;N/A;HSS;Aluminium Titanium Nitride;N/A;4_A_1;0;0;0;0;N/A;3_B_5;N/A;N/A;50;tool;Double-sided Chamfer Mill
Chamfer Mill;0;1;1;0;0;53HTL182;774.8341.1078;mm;No;Sandvik;HSK-A63;2.5;0.0984;37;N/A;N/A;N/A;173.0;80.0;84.45;7;30°;N/A;HSS;Diamond;Type 1;1_E_2;12;5;7;8;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Drill;0;0;0;0;1;46EJR107;784.3343.7164;inch;Yes;Sandvik;HSK-A63;25.4;1;23;N/A;N/A;N/A;147.0;46.0;98.04;10;30°;0.12;HSS;Diamond;Type 2;6_F_5;1;0;1;1;N/A;1_C_10;N/A;N/A;47;tool;Modular Drill
Drill;1;0;1;1;0;75ZYQ818;778.1185.7705;mm;No;Garant;HSK-A63;16;0.6299;49;N/A;N/A;N/A;58.82;28.0;29.08;6;N/A;N/A;VHM;Diamond;Type 1;2_C_2;4;4;0;4;N/A;N/A;N/A;N/A;0;tool;Flat-end Drill
Drill;0;0;0;0;1;74ASS689;792.7905.6929;inch;No;Niagara Cutter;SK-40;25.4;1;26;N/A;N/A;N/A;91.23;67.0;75.0;8;45°;N/A;VHM;Aluminium Titanium Nitride;Type 2;2_A_1;1;0;1;1;N/A;N/A;N/A;N/A;0;tool;Modular Drill
End Mill;0;0;0;0;1;40GXJ740;724.5409.3094;mm;No;KENNAMETAL;HSK-A63;5;0.1969;13;N/A;N/A;N/A;66.0;58.0;60.0;1;N/A;N/A;HSS;Diamond;Type 2;4_F_8;9;5;4;6;N/A;N/A;4_B_6;N/A;46;tool;Roughing End Mill
Face Mill;0;0;1;0;0;82TLX794;730.3972.2384;mm;No;SECO;SK-40;3.5;0.1378;28;N/A;N/A;N/A;72.0;33.0;58.71;7;N/A;0.3;HSS;Aluminium Titanium Nitride;N/A;5_C_4;12;5;7;4;N/A;N/A;N/A;N/A;0;tool;Face Mill
T-Slot Mill;0;0;0;0;1;55CXY710;778.8075.2291;mm;Yes;KENNAMETAL;SK-40;20;0.7874;19;N/A;5;12.4063;116.5;28.0;94.0;9;N/A;N/A;HSS;Diamond;Type 2;4_E_1;3;2;1;0;N/A;N/A;5_A_2;N/A;47;tool;Radius T-Slot Mill
T-Slot Mill;0;0;0;0;1;44XDF339;733.6372.8870;inch;No;SECO;SK-40;19.05;0.75;30;N/A;5;5.5466;144.2;51.42;126.74;9;45°;0.12;HSS;Titanium Nitride;Type 3;5_E_2;7;4;3;1;1_E_2;N/A;N/A;N/A;50;tool;T-Slot Mill
Drill;0;0;0;0;1;58DVX988;733.6382.4937;mm;Yes;Sandvik;SK-40;4;0.1575;37;N/A;N/A;N/A;51.0;19.99;31.82;4;30°;N/A;VHM;None;Type 1;2_B_11;14;5;9;8;N/A;N/A;N/A;N/A;0;tool;Flat-end Drill
End Mill;0;0;0;0;1;68MQG495;714.9247.4756;inch;Yes;Sandvik;HSK-A63;6.35;0.25;31;N/A;N/A;N/A;140.0;107.27;123.97;7;45°;0.03;VHM;Diamond;Type 1;6_B_14;9;0;9;6;N/A;3_C_14;N/A;N/A;9;tool;Roughing End Mill
Thread Tap;1;1;1;1;0;63NWK975;737.6485.2242;mm;No;Sandvik;HSK-A63;12;0.4724;25;0-80;N/A;N/A;157.82;18.89;54.0;10;45°;N/A;HSS;Titanium Nitride;Type 1;5_C_4;6;4;2;3;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Chamfer Mill;0;0;0;0;0;29APV186;781.8607.4768;inch;Yes;Garant;SK-40;9.525;0.375;11;N/A;N/A;N/A;66.42;16.85;20.84;4;30°;N/A;VHM;None;Type 3;4_C_13;8;2;6;6;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
End Mill;0;0;0;0;0;91KKR716;773.3380.2549;inch;Yes;Garant;SK-40;38.1;1.5;24;N/A;N/A;N/A;83.39;14.0;45.0;3;90°;0.03;VHM;Aluminium Titanium Nitride;Type 2;2_B_7;9;0;9;7;N/A;N/A;N/A;N/A;0;tool;Chamfer Ended End Mill
Face Mill;0;1;0;0;0;78VGH698;714.7624.6960;inch;No;Sandvik;HSK-A63;9.525;0.375;40;N/A;N/A;N/A;90.0;25.19;44.76;2;N/A;N/A;VHM;None;N/A;1_E_3;5;0;5;3;N/A;1_D_12;N/A;N/A;8;tool;High-feed Face Mill
Sphere Mill;1;1;0;1;0;67DFC344;717.4107.3122;inch;Yes;SECO;SK-40;19.05;0.75;22;N/A;N/A;N/A;176.33;58.42;69.39;1;30°;N/A;HSS;None;Type 2;1_F_6;2;1;1;0;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
Chamfer Mill;0;0;0;0;1;82AFX979;780.1654.1111;inch;No;Garant;SK-40;3.175;0.125;16;N/A;N/A;N/A;112.53;57.0;94.0;5;30°;N/A;VHM;Titanium Nitride;Type 3;6_A_8;6;0;6;3;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
End Mill;0;1;1;1;0;79XUI816;782.1248.9086;mm;No;Garant;HSK-A63;4.5;0.1772;20;N/A;N/A;N/A;78.0;25.0;27.0;5;45°;3;HSS;Titanium Nitride;N/A;5_D_13;8;5;3;7;N/A;N/A;N/A;N/A;0;tool;Chamfer Ended End Mill
Thread Tap;0;0;0;0;1;91BEB847;714.6640.5110;mm;No;KENNAMETAL;SK-40;1;0.0394;42;2-56;N/A;N/A;55.0;21.0;22.0;5;45°;N/A;HSS;Titanium Nitride;Type 3;5_D_5;3;3;0;3;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Thread Tap;0;0;0;0;1;54UDP109;748.8945.3234;inch;No;Niagara Cutter;SK-40;3.175;0.125;48;M12;N/A;N/A;96.95;36.04;83.0;10;45°;N/A;HSS;None;Type 3;4_D_6;3;3;0;0;N/A;N/A;N/A;N/A;0;tool;Blind Hole Thread Tap
Thread Tap;0;0;0;0;1;62UGR351;793.7060.4322;inch;No;Garant;SK-40;31.75;1.25;30;M12;N/A;N/A;147.0;23.47;25.45;2;45°;0.12;HSS;None;N/A;1_C_9;7;2;5;4;N/A;N/A;N/A;N/A;0;tool;Blind Hole Thread Tap
Chamfer Mill;0;0;0;0;1;17VHP432;712.8982.3439;mm;Yes;Niagara Cutter;HSK-A63;4;0.1575;27;N/A;N/A;N/A;84.1;31.29;46.92;8;N/A;N/A;VHM;None;Type 1;2_C_3;13;5;8;12;N/A;N/A;N/A;1_A_8;21;tool;Double-sided Chamfer Mill
Sphere Mill;0;0;0;0;1;32XUQ580;731.5375.6951;inch;Yes;Sandvik;SK-40;25.4;1;10;N/A;N/A;N/A;98.36;18.32;21.0;7;N/A;0.12;HSS;None;Type 1;5_C_7;11;2;9;6;N/A;5_C_8;N/A;N/A;30;tool;Sphere Mill
Chamfer Mill;0;0;1;0;0;49YCC911;735.2212.4600;mm;No;Sandvik;SK-40;2;0.0787;28;N/A;N/A;N/A;75.0;52.55;66.74;9;30°;3;VHM;Diamond;Type 3;5_B_7;8;5;3;2;N/A;4_F_9;N/A;N/A;16;tool;Double-sided Chamfer Mill
Face Mill;0;1;1;1;0;74PDP584;709.5675.6797;mm;No;KENNAMETAL;HSK-A63;1.5;0.0591;14;N/A;N/A;N/A;56.05;11.92;34.0;1;90°;2;VHM;Diamond;Type 2;2_D_13;7;5;2;1;N/A;N/A;5_E_13;N/A;13;tool;Face Mill
Face Mill;1;0;0;0;0;16GBU294;730.7551.9733;inch;Yes;SECO;HSK-A63;19.05;0.75;11;N/A;N/A;N/A;129.0;37.72;50.0;6;45°;0.03;VHM;Aluminium Titanium Nitride;N/A;2_A_10;10;5;5;7;5_B_1;N/A;N/A;N/A;14;tool;Face Mill
End Mill;0;0;1;0;0;80VPR609;769.9158.5660;mm;Yes;KENNAMETAL;SK-40;2.5;0.0984;26;N/A;N/A;N/A;134.0;12.0;32.81;3;90°;N/A;HSS;Diamond;Type 1;4_E_13;12;3;9;2;N/A;N/A;5_F_4;N/A;38;tool;Ball Nose End Mill
Face Mill;0;1;1;1;0;99HYF219;753.3976.4302;mm;Yes;Garant;SK-40;3;0.1181;39;N/A;N/A;N/A;171.0;97.17;99.12;6;90°;1;VHM;Titanium Nitride;Type 2;5_C_9;5;1;4;5;N/A;N/A;N/A;N/A;0;tool;Face Mill
Face Mill;0;0;0;0;1;32XNT750;768.7389.9157;inch;No;Sandvik;SK-40;3.175;0.125;27;N/A;N/A;N/A;94.16;35.0;43.09;9;30°;N/A;HSS;Titanium Nitride;Type 2;2_E_11;6;1;5;5;N/A;5_E_10;N/A;N/A;8;tool;Face Mill
Chamfer Mill;0;0;0;0;1;20ZJJ873;790.4535.9341;mm;Yes;KENNAMETAL;SK-40;4;0.1575;19;N/A;N/A;N/A;56.0;31.0;41.46;4;45°;0.5;VHM;Aluminium Titanium Nitride;Type 1;1_B_4;8;3;5;8;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Face Mill;0;1;1;1;0;20CGJ588;730.1079.6123;mm;Yes;Garant;HSK-A63;2.5;0.0984;40;N/A;N/A;N/A;140.3;18.0;25.05;8;N/A;N/A;HSS;Aluminium Titanium Nitride;N/A;2_D_1;12;3;9;9;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
T-Slot Mill;0;0;0;0;1;35UUK721;756.4703.9981;inch;No;Niagara Cutter;SK-40;38.1;1.5;35;N/A;8;7.0328;105.04;24.0;36.67;1;N/A;N/A;HSS;Diamond;Type 3;2_F_14;3;3;0;1;N/A;N/A;N/A;4_E_8;49;tool;Radius T-Slot Mill
Thread Tap;0;0;0;0;0;29DKY608;719.1585.3321;mm;No;Niagara Cutter;HSK-A63;4.5;0.1772;27;M8;N/A;N/A;132.0;20.0;41.0;7;90°;N/A;VHM;Diamond;Type 1;1_D_14;6;1;5;4;N/A;N/A;N/A;N/A;0;tool;Blind Hole Thread Tap
Drill;0;0;1;0;0;44BZU668;771.8730.3473;inch;Yes;SECO;HSK-A63;9.525;0.375;45;N/A;N/A;N/A;79.52;18.0;30.0;10;90°;0.06;VHM;Diamond;Type 1;2_B_13;6;0;6;6;N/A;N/A;N/A;N/A;0;tool;Pilot Drill
End Mill;1;1;1;1;0;89VJC454;777.4388.1701;inch;Yes;KENNAMETAL;SK-40;12.7;0.5;36;N/A;N/A;N/A;137.0;37.28;44.25;9;N/A;N/A;HSS;Aluminium Titanium Nitride;Type 3;1_B_8;11;2;9;6;N/A;N/A;N/A;N/A;0;tool;Roughing End Mill
End Mill;0;1;1;1;0;35SGA384;719.1586.3955;mm;Yes;Sandvik;SK-40;5;0.1969;42;N/A;N/A;N/A;79.96;43.98;67.0;5;90°;2;HSS;Diamond;Type 1;6_C_12;9;4;5;9;N/A;N/A;N/A;N/A;0;tool;Single Flute End Mill
Thread Tap;0;0;0;0;1;65DLD973;774.4645.9899;inch;Yes;SECO;SK-40;9.525;0.375;10;M3;N/A;N/A;114.0;27.32;66.61;6;45°;0.06;HSS;None;Type 1;2_D_4;7;5;2;2;2_B_13;N/A;N/A;N/A;18;tool;Thru-hole Thread Tap
End Mill;0;1;1;1;0;85RMG669;723.6421.2400;inch;No;Niagara Cutter;HSK-A63;50.8;2;47;N/A;N/A;N/A;162.0;80.0;100.0;9;N/A;N/A;VHM;Aluminium Titanium Nitride;N/A;1_D_3;12;5;7;11;N/A;N/A;N/A;4_C_11;24;tool;Single Flute End Mill
Face Mill;1;1;1;0;0;35EYL626;712.8896.7048;mm;No;KENNAMETAL;SK-40;1.5;0.0591;12;N/A;N/A;N/A;181.0;15.0;172.92;3;N/A;N/A;HSS;Diamond;Type 2;6_B_5;9;5;4;3;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
End Mill;0;0;0;1;0;25DYU428;795.7304.6977;inch;Yes;SECO;SK-40;3.175;0.125;25;N/A;N/A;N/A;66.89;35.67;60.39;3;45°;N/A;VHM;Diamond;Type 3;1_B_12;11;3;8;7;3_C_10;N/A;N/A;N/A;29;tool;Roughing End Mill
Drill;0;1;1;0;0;39NBS811;728.9138.5598;inch;Yes;Sandvik;HSK-A63;15.875;0.625;15;N/A;N/A;N/A;105.0;65.0;93.0;9;30°;0.03;VHM;Titanium Nitride;Type 3;4_A_8;10;0;10;2;N/A;N/A;N/A;N/A;0;tool;Pilot Drill
Face Mill;0;0;0;0;1;35QTT128;760.9126.5778;inch;No;SECO;SK-40;12.7;0.5;37;N/A;N/A;N/A;103.41;16.0;21.0;1;90°;N/A;VHM;Aluminium Titanium Nitride;Type 3;1_D_12;11;2;9;8;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
Drill;0;1;1;1;0;45WVD781;718.7045.5045;inch;No;KENNAMETAL;SK-40;25.4;1;24;N/A;N/A;N/A;114.21;25.03;30.47;8;30°;0.06;HSS;Diamond;Type 3;3_F_1;12;3;9;10;N/A;N/A;6_B_13;N/A;35;tool;Modular Drill
Face Mill;0;0;0;0;1;36BBQ571;785.1307.8067;mm;Yes;Niagara Cutter;SK-40;1.5;0.0591;38;N/A;N/A;N/A;109.0;23.0;70.0;2;45°;0.4;VHM;Titanium Nitride;N/A;2_B_6;9;3;6;0;N/A;N/A;N/A;6_E_4;50;tool;Face Mill
End Mill;0;0;0;0;0;70IBO938;747.9174.5206;inch;No;Garant;SK-40;15.875;0.625;45;N/A;N/A;N/A;61.0;35.0;38.24;8;30°;N/A;VHM;Titanium Nitride;Type 3;2_D_4;15;5;10;8;N/A;N/A;N/A;N/A;0;tool;Single Flute End Mill
End Mill;0;0;0;0;1;61FDR274;744.6238.1899;inch;Yes;Sandvik;HSK-A63;38.1;1.5;42;N/A;N/A;N/A;106.0;17.19;63.25;8;90°;N/A;VHM;Diamond;Type 2;1_B_5;6;2;4;0;N/A;N/A;N/A;N/A;0;tool;Single Flute End Mill
End Mill;1;0;0;0;0;36BGW514;703.8312.4983;mm;Yes;Niagara Cutter;SK-40;6;0.2362;44;N/A;N/A;N/A;86.11;17.0;70.0;6;45°;0.3;HSS;Diamond;Type 1;2_B_10;5;1;4;2;N/A;N/A;N/A;5_F_10;21;tool;Roughing End Mill
End Mill;1;0;0;1;0;48FTS689;773.6827.3874;inch;No;KENNAMETAL;HSK-A63;38.1;1.5;42;N/A;N/A;N/A;87.0;16.0;20.0;7;90°;N/A;VHM;None;Type 2;6_B_10;3;3;0;2;N/A;N/A;4_C_6;N/A;41;tool;Ball Nose End Mill
Thread Tap;0;0;0;0;1;72CWB409;732.6885.1239;mm;Yes;Garant;HSK-A63;5;0.1969;42;4-40;N/A;N/A;157.53;15.21;63.0;8;30°;N/A;HSS;None;Type 3;1_F_3;5;2;3;1;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Chamfer Mill;0;1;0;1;0;26TGU114;765.6114.6219;mm;No;SECO;SK-40;5;0.1969;32;N/A;N/A;N/A;131.0;63.0;115.0;6;30°;0.5;VHM;None;Type 2;3_B_12;13;5;8;13;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Drill;0;1;0;1;0;24VWV886;766.1713.7449;inch;No;Niagara Cutter;HSK-A63;15.875;0.625;46;N/A;N/A;N/A;175.0;19.0;63.0;3;30°;N/A;VHM;Titanium Nitride;Type 2;2_F_9;2;2;0;0;N/A;N/A;N/A;5_A_14;24;tool;Pilot Drill
T-Slot Mill;0;0;0;0;1;53HBI345;800.6696.9989;mm;Yes;Garant;SK-40;1.5;0.0591;30;N/A;14;10.3505;119.47;11.0;24.0;10;N/A;N/A;VHM;Diamond;Type 3;6_E_15;9;3;6;6;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
T-Slot Mill;1;1;1;0;0;51BED104;775.5709.8369;inch;No;Garant;SK-40;19.05;0.75;24;N/A;20;8.485;148.97;35.0;54.0;2;30°;0.12;HSS;Diamond;Type 1;2_B_10;14;5;9;1;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
Thread Tap;0;0;0;0;1;50DSK301;706.5110.7528;inch;Yes;Niagara Cutter;SK-40;44.45;1.75;33;M3;N/A;N/A;200.0;115.24;182.0;3;90°;0.06;VHM;Diamond;Type 3;2_F_14;11;3;8;6;N/A;N/A;N/A;4_D_14;44;tool;Thru-hole Thread Tap
Thread Tap;0;0;0;0;0;89ZFJ732;800.4306.1414;inch;Yes;Sandvik;SK-40;12.7;0.5;19;M3;N/A;N/A;87.0;13.5;29.0;5;45°;0.12;VHM;Titanium Nitride;Type 1;4_C_6;6;0;6;2;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Face Mill;0;0;0;0;1;61ZNK355;788.7795.3037;mm;Yes;Sandvik;SK-40;2;0.0787;21;N/A;N/A;N/A;84.0;17.0;23.0;4;90°;N/A;VHM;Titanium Nitride;N/A;6_F_4;5;2;3;4;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
Drill;0;0;0;0;1;91EWF579;768.6730.9901;mm;No;Niagara Cutter;HSK-A63;1;0.0394;44;N/A;N/A;N/A;181.0;97.0;118.83;4;30°;0.4;VHM;Aluminium Titanium Nitride;N/A;1_B_15;1;1;0;0;N/A;N/A;N/A;N/A;0;tool;Flat-end Drill
Sphere Mill;0;0;0;0;0;70BEQ997;719.8748.7922;inch;No;KENNAMETAL;HSK-A63;9.525;0.375;21;N/A;N/A;N/A;162.27;95.0;108.97;7;N/A;N/A;HSS;Titanium Nitride;Type 3;4_F_4;9;4;5;5;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
Thread Tap;0;1;0;0;0;93LWR445;778.8168.8259;mm;Yes;KENNAMETAL;SK-40;4.5;0.1772;26;M12;N/A;N/A;84.0;35.0;82.0;1;90°;2;VHM;Aluminium Titanium Nitride;Type 3;4_B_9;3;0;3;0;N/A;N/A;2_A_3;N/A;34;tool;Blind Hole Thread Tap
Face Mill;0;0;0;0;1;80XJB882;717.8683.8021;mm;No;Garant;HSK-A63;4.5;0.1772;26;N/A;N/A;N/A;173.06;67.0;126.53;5;30°;N/A;VHM;None;Type 2;3_F_4;7;1;6;0;N/A;N/A;N/A;N/A;0;tool;Face Mill
End Mill;1;1;0;0;0;17RAF147;750.1750.2454;mm;Yes;SECO;HSK-A63;16;0.6299;29;N/A;N/A;N/A;125.41;17.3;21.1;9;90°;N/A;VHM;Diamond;Type 3;3_F_14;12;4;8;4;5_B_8;N/A;N/A;N/A;11;tool;Single Flute End Mill
